cd-n2 500.74 1.290   # CORR_SOURCE5 156 0.0074
cd-n 353.83 1.381   # SOURCE3_SOURCE5 1142 0.0085
cd-na 354.49 1.380   # SOURCE3_SOURCE5 6739 0.0088
cd-nc 450.71 1.317   # SOURCE3_SOURCE5 4612 0.0083
cd-nd 369.10 1.369   # SOURCE1_SOURCE5 2269 0.0086
cd-ne 485.08 1.298   # CORR_SOURCE5 41 0.0113
cd-nh 363.47 1.373   # SOURCE3_SOURCE5 976 0.0106
cd-oh 389.45 1.347   # CORR_SOURCE5 248 0.0073
cd-os 367.90 1.362   # SOURCE3_SOURCE5 1859 0.0083
cd-pc 240.75 1.733   # SOURCE3 84
cd-ss 231.98 1.756   # SOURCE3_SOURCE5 2011 0.0134
cd-sy 214.05 1.784   # CORR_SOURCE5 73 0.0082
ce-ce 306.13 1.457   # SOURCE1_SOURCE5 1000 0.0092
ce-cf 452.16 1.351   # SOURCE1_SOURCE5 1908 0.0059
ce-cg 341.16 1.427   # SOURCE1_SOURCE5 238 0.0053
ce-ch 336.29 1.431   # SOURCE1 22
ce-cl 174.72 1.764   # SOURCE4_SOURCE5 90 0.0111
ce-cx 261.83 1.502   # SOURCE4_SOURCE5 31 0.0075
ce-cy 250.06 1.516   # SOURCE4_SOURCE5 53 0.0043
ce-h4 385.40 1.092   # CORR_SOURCE5 315 0.0033
ce-ha 391.44 1.088   # SOURCE3_SOURCE5 2751 0.0014
ce-n1 461.59 1.311   # CORR_SOURCE5 16 0.0049
ce-n2 506.97 1.287   # SOURCE1_SOURCE5 896 0.0038
ce-n 301.69 1.424   # CORR_SOURCE5 209 0.0059
ce-na 305.30 1.421   # SOURCE4_SOURCE5 11 0.0050
ce-ne 336.57 1.394   # SOURCE3_SOURCE5 69 0.0151
ce-nf 489.14 1.296   # CORR_SOURCE5 101 0.0097
ce-nh 341.71 1.390   # CORR_SOURCE5 300 0.0133
ce-oh 384.73 1.350   # CORR_SOURCE5 58 0.0102
ce-os 355.66 1.371   # CORR_SOURCE5 96 0.0128
ce-p2 190.37 1.814   # SOUECE3 1
ce-pe 188.22 1.818   # SOURCE3 8 0.0108
ce-px 186.64 1.821   # SOURCE3 6 0.0046
ce-py 194.96 1.806   # SOURCE3_SOURCE5 22 0.0142
ce-s 291.39 1.680   # SOUECE3 1
ce-ss 215.60 1.781   # SOURCE4_SOURCE5 56 0.0098
ce-sx 193.92 1.819   # SOURCE3_SOURCE5 30 0.0101
ce-sy 211.48 1.788   # SOURCE3_SOURCE5 41 0.0169
c-f 387.77 1.325   # SOURCE2 6 0.0147
cf-cf 306.13 1.457   # SOURCE1_SOURCE5 1000 0.0092
cf-cg 336.29 1.431   # SOURCE1 22
cf-ch 341.16 1.427   # SOURCE1_SOURCE5 238 0.0053
cf-h4 385.40 1.092   # CORR_SOURCE5 315 0.0033
cf-ha 391.44 1.088   # SOURCE3_SOURCE5 2751 0.0014
cf-n1 461.59 1.311   # CORR_SOURCE5 16 0.0049
cf-n2 506.97 1.287   # SOURCE1_SOURCE5 896 0.0038
cf-n 301.69 1.424   # CORR_SOURCE5 209 0.0059
cf-ne 489.14 1.296   # CORR_SOURCE5 101 0.0097
cf-nf 336.57 1.394   # SOURCE3_SOURCE5 62 0.0156
cf-nh 341.71 1.390   # CORR_SOURCE5 300 0.0133
cf-oh 384.73 1.350   # CORR_SOURCE5 58 0.0102
cf-os 355.66 1.371   # CORR_SOURCE5 96 0.0128
cf-p2 190.37 1.814   # SOUECE3 1
cf-pf 188.22 1.818   # SOURCE3 8
cf-px 186.64 1.821   # SOURCE3 6
cf-py 194.96 1.806   # SOURCE3_SOURCE5 17 0.0171
cf-s 291.39 1.680   # SOUECE3 1
cf-sx 193.92 1.819   # SOURCE3_SOURCE5 25 0.0105
cf-sy 211.48 1.788   # SOURCE3_SOURCE5 36 0.0177
cg-cg 421.79 1.369   # SOURCE1_SOURCE5 62 0.0025
cg-ch 811.54 1.206   # SOURCE1_SOURCE5 156 0.0023
cg-n1 879.32 1.157   # SOURCE1_SOURCE5 879 0.0015
cg-ne 435.38 1.326   # SOURCE4_SOURCE5 68 0.0013
cg-pe 339.39 1.621   # SOURCE3 11 0.2008
c-h4 350.25 1.112   # SOURCE4_SOURCE5 506 0.0025
c-h5 361.80 1.105   # SOURCE4_SOURCE5 163 0.0038
c-ha 368.78 1.101   # SOURCE3 53 0.0102
ch-ch 421.79 1.369   # SOURCE1_SOURCE5 62 0.0025
ch-n1 879.32 1.157   # SOURCE1_SOURCE5 879 0.0015
ch-nf 435.38 1.326   # SOURCE4_SOURCE5 51 0.0014
ch-pf 339.39 1.621   # SOURCE3 11
c-i 89.53 2.209   # SOURCE3 4 0.0365
cl-cl 79.29 2.267   # SOURCE1 2 0.0395
cl-cx 172.69 1.768   # SOURCE1_SOURCE5 42 0.0071
cl-cy 161.13 1.792   # SOURCE2_SOURCE5 28 0.0103
cl-n1 217.59 1.630   # SOUECE3 1
cl-n2 123.81 1.819   # SOURCE3 6 0.1020
cl-n3 139.52 1.777   # SOURCE4_SOURCE5 16 0.0044
cl-n 167.01 1.716   # SOURCE4_SOURCE5 17 0.0049
cl-n4 149.71 1.753   # SOURCE3 4 0.0098
cl-na 118.36 1.835   # SOURCE3 7 0.2083
cl-nh 145.39 1.763   # SOURCE3 1
cl-no 116.71 1.840   # SOURCE2 1
cl-o 331.00 1.483   # SOURCE3 4
cl-oh 169.11 1.690   # SOURCE2 1
cl-os 149.95 1.730   # SOURCE3 4
cl-p2 143.51 2.070   # SOURCE3 6 0.0108
cl-p3 167.79 2.008   # SOURCE1 111
cl-p4 167.79 2.008   # SOURCE1 111
cl-p5 167.79 2.008   # SOURCE1 111
cl-pb 172.59 1.997   # SOURCE1 46
cl-s 230.41 2.072   # SOURCE1 6
cl-s2 185.62 2.161   # SOURCE2 1
cl-s4 230.41 2.072   # SOURCE1 6
cl-s6 230.41 2.072   # SOURCE1 6
cl-sh 230.41 2.072   # SOURCE1 6
cl-ss 230.41 2.072   # SOURCE1 6
cl-sx 230.41 2.072   # SOURCE1 6
cl-sy 230.41 2.072   # SOURCE1 6
c-n2 306.30 1.420   # SOUECE3 1
c-n4 197.87 1.546   # SOURCE3 4 0.0388
c-n 356.21 1.379   # SOURCE1_SOURCE5 9463 0.0137
c-nc 346.03 1.387   # CORR_SOURCE5 179 0.0121
c-nd 346.03 1.387   # CORR_SOURCE5 179 0.0121
c-ne 340.70 1.391   # CORR_SOURCE5 87 0.0140
c-nf 340.70 1.391   # CORR_SOURCE5 87 0.0140
c-no 201.86 1.540   # SOUECE3 1
c-o 652.57 1.218   # SOURCE1_SOURCE5 27083 0.0110
c-oh 383.13 1.351   # SOURCE1_SOURCE5 3610 0.0055
c-os 372.94 1.358   # SOURCE1_SOURCE5 5555 0.0163
c-p2 150.04 1.900   # SOUECE3 1
c-p3 157.13 1.883   # SOURCE3 6 0.0129
c-p4 158.42 1.880   # SOUECE3 1
c-p5 157.64 1.882   # SOURCE4_SOURCE5 25 0.0081
cp-cp 277.60 1.485   # SOURCE1_SOURCE5 728 0.0059
cp-cq 309.60 1.454   # SOURCE4_SOURCE5 34 0.0159
c-pe 145.65 1.911   # SOURCE3 3 0.0025
c-pf 145.65 1.911   # SOURCE3 3
cp-na 349.52 1.384   # SOURCE4 7 0.0181
cp-nb 414.72 1.339   # SOURCE4_SOURCE5 190 0.0068
c-px 148.42 1.904   # SOURCE3 1
