hw-ow-hw 43.276 104.520   # AMBER 1 TIP3P_water
cf-pf-p2 65.808 99.560   # SOURCE3 1
cf-pf-s 51.312 105.540   # SOURCE3 1
ch-pf-n2 68.416 101.790   # SOURCE3 1
ch-pf-o 66.891 107.620   # SOURCE3 1
ch-pf-p2 67.155 104.680   # SOURCE3 2
ch-pf-s 53.387 108.600   # SOURCE3 4
n2-pf-n2 85.418 108.140   # SOURCE3 1
n2-pf-nf 80.952 106.800   # SOURCE3 6
n2-pf-o 83.198 115.390   # SOURCE3 1
n2-pf-p2 82.679 111.600   # SOURCE3 1
n2-pf-pf 76.187 109.400   # SOURCE3 1
n2-pf-px 78.660 110.300   # SOURCE3 3
n2-pf-py 84.653 93.680   # SOURCE3 1
n2-pf-s 66.247 114.840   # SOURCE3 3
n2-pf-sx 60.809 97.830   # SOURCE3 1
n2-pf-sy 59.570 98.140   # SOURCE3 1
nf-pf-o 80.037 110.240   # SOURCE3 3
nf-pf-p2 82.546 104.480   # SOURCE3 2
nf-pf-s 65.116 109.190   # SOURCE3 5
o-pf-o 82.114 119.960   # SOURCE3 1
o-pf-p2 81.980 114.230   # SOURCE3 1
o-pf-pf 66.057 145.960   # SOURCE3 1
o-pf-px 81.034 104.370   # SOURCE3 1
o-pf-py 80.312 104.490   # SOURCE3 1
o-pf-s 65.783 117.420   # SOURCE3 2
o-pf-sx 58.314 106.590   # SOURCE3 1
o-pf-sy 57.621 105.040   # SOURCE3 1
p2-pf-pf 85.030 98.240   # SOURCE3 1
p2-pf-px 83.137 108.280   # SOURCE3 2
p2-pf-py 81.676 110.870   # SOURCE3 3
p2-pf-s 68.307 111.280   # SOURCE3 1
p2-pf-sx 65.549 95.730   # SOURCE3 1
p2-pf-sy 64.541 95.950   # SOURCE3 1
pf-pf-s 64.452 107.910   # SOURCE3 2
px-pf-s 66.458 107.620   # SOURCE3 2
py-pf-s 65.679 108.730   # SOURCE3 3
s-pf-s 43.414 178.440   # SOURCE3 1
s-pf-sx 48.826 108.320   # SOURCE3 2
s-pf-sy 48.370 106.930   # SOURCE3 1
c3-px-ca 46.648 104.790   # SOURCE3 1
c3-px-ce 46.683 104.860   # SOURCE3 4 0.6354
c3-px-cf 46.683 104.860   # SOURCE3 4
c3-px-ne 60.976 102.460   # SOURCE3 7 1.8685
c3-px-nf 60.976 102.460   # SOURCE3 7
c3-px-o 60.307 113.790   # SOURCE3_SOURCE5 33 4.2352
c3-px-pe 61.145 105.730   # SOURCE3 10 4.4059
c3-px-pf 61.145 105.730   # SOURCE3 10
c3-px-py 58.192 103.110   # SOURCE3 3 0.8680
c3-px-sx 45.492 99.550   # SOURCE3 1
c3-px-sy 44.530 103.410   # SOURCE3 1
ca-px-ca 46.837 104.150   # SOURCE3 2 3.6168
ca-px-o 62.137 107.500   # SOURCE3 5 5.7355
c-px-c3 46.307 101.720   # SOURCE3 1
ce-px-ce 46.926 104.210   # SOURCE3 1
ce-px-o 60.493 113.790   # SOURCE3 6 0.3877
cf-px-cf 46.926 104.210   # SOURCE3 1
cf-px-o 60.493 113.790   # SOURCE3 6
c-px-o 58.294 114.470   # SOURCE3 1
ne-px-ne 79.109 103.220   # SOURCE3 2 0.6807
ne-px-o 79.281 114.130   # SOURCE3 11 8.9737
nf-px-nf 79.109 103.220   # SOURCE3 2
nf-px-o 79.281 114.130   # SOURCE3 11
o-px-pe 76.837 116.500   # SOURCE3 12 8.2925
o-px-pf 76.837 116.500   # SOURCE3 12
o-px-py 71.388 114.200   # SOURCE3 5 1.7165
o-px-sx 54.930 112.810   # SOURCE3 3 0.8799
o-px-sy 54.586 113.540   # SOURCE3 3 0.5010
pe-px-pe 79.592 110.710   # SOURCE3 1
pf-px-pf 79.592 110.710   # SOURCE3 1
py-px-py 73.550 107.780   # SOURCE3 1
sx-px-sx 46.354 96.240   # SOURCE3 1
sy-px-sy 44.807 102.360   # SOURCE3 1
c3-py-n4 57.271 103.830   # SOURCE3 4
c3-py-na 59.344 106.890   # SOURCE3 2
c3-py-o 59.442 116.680   # SOURCE3_SOURCE5 22 1.9051
c3-py-oh 62.641 100.160   # SOURCE3 2
c3-py-os 61.038 105.390   # SOURCE3 1
c3-py-px 57.225 106.270   # SOURCE3 2
c3-py-py 56.530 109.830   # SOURCE3_SOURCE5 16 1.4525
c3-py-sx 43.696 106.360   # SOURCE3 4
ca-py-ca 46.314 107.550   # SOURCE3 1
ca-py-o 60.635 114.330   # SOURCE3_SOURCE5 20 1.3895
ca-py-oh 62.332 102.870   # SOURCE4_SOURCE5 16 1.4519
ca-py-os 62.763 101.360   # SOURCE3_SOURCE5 12 1.6676
c-py-c3 44.799 110.360   # SOURCE3 1
c-py-c 45.772 104.200   # SOURCE3 1
ce-py-ce 46.806 106.540   # SOURCE3 1
ce-py-o 60.977 114.040   # SOURCE3_SOURCE5 17 2.0725
ce-py-oh 61.997 104.770   # SOURCE3 6 2.1852
ce-py-os 61.932 104.880   # SOURCE3_SOURCE5 7 1.2571
cf-py-cf 46.806 106.540   # SOURCE3 1
cf-py-o 60.977 114.040   # SOURCE3_SOURCE5 12 1.5779
cf-py-oh 61.997 104.770   # SOURCE3 6
cf-py-os 61.932 104.880   # SOURCE3_SOURCE5 7 1.2571
c-py-o 59.457 114.000   # SOURCE3_SOURCE5 17 1.4765
c-py-oh 61.100 103.220   # SOURCE3_SOURCE5 16 1.4543
c-py-os 62.044 100.010   # SOURCE3_SOURCE5 14 3.2269
n3-py-ne 79.409 108.760   # SOURCE4_SOURCE5 30 1.0660
n4-py-o 72.867 115.580   # SOURCE3 4
n4-py-py 98.929 55.100   # SOURCE3 4
na-py-o 76.532 122.400   # SOURCE3 2
na-py-py 105.838 50.880   # SOURCE3 2
ne-py-ne 78.402 118.190   # SOURCE3_SOURCE5 35 1.2083
ne-py-o 82.910 113.210   # SOURCE3 15 3.8894
ne-py-oh 83.005 104.700   # SOURCE3 26 2.7513
ne-py-os 81.559 108.290   # SOURCE3_SOURCE5 23 1.6881
nf-py-nf 78.402 118.190   # SOURCE3_SOURCE5 35 1.2083
nf-py-o 82.910 113.210   # SOURCE3 15
nf-py-oh 83.005 104.700   # SOURCE3 26
nf-py-os 81.559 108.290   # SOURCE3_SOURCE5 23 1.6881
oh-py-oh 83.937 101.680   # SOURCE3_SOURCE5 49 1.9218
oh-py-pe 79.277 104.840   # SOURCE3 22 2.0337
oh-py-pf 79.277 104.840   # SOURCE3 22
oh-py-px 74.246 104.300   # SOURCE3 8 1.2772
oh-py-py 76.047 100.450   # SOURCE3 6
oh-py-sx 57.417 100.940   # SOURCE3 4
oh-py-sy 59.053 101.470   # SOURCE3 6 0.2490
o-py-oh 81.623 115.830   # SOURCE3_SOURCE5 105 1.8918
o-py-os 81.496 115.990   # SOURCE3_SOURCE5 47 1.2146
o-py-pe 76.936 114.560   # SOURCE3 12 3.6114
o-py-pf 76.936 114.560   # SOURCE3 12
o-py-px 72.318 111.370   # SOURCE3 5 0.3803
o-py-py 69.944 120.430   # SOURCE3 16 6.0629
os-py-os 83.760 101.820   # SOURCE3_SOURCE5 27 1.5502
os-py-py 74.513 104.590   # SOURCE3_SOURCE5 5 0.4023
os-py-sx 56.596 103.860   # SOURCE3 2
os-py-sy 58.853 102.120   # SOURCE3 2
o-py-sx 53.190 118.560   # SOURCE3 7 6.2976
o-py-sy 56.689 111.710   # SOURCE3 5 1.1937
pe-py-pe 80.108 107.140   # SOURCE3 1
pf-py-pf 80.108 107.140   # SOURCE3 1
py-py-py 72.354 112.700   # SOURCE3 1
py-py-sx 75.004 61.540   # SOURCE3 4
sy-py-sy 45.561 105.170   # SOURCE3 1
c1-s2-o 94.269 117.250   # SOURCE3 1
c2-s2-n2 98.098 110.840   # SOURCE3 1
c2-s2-o 94.864 114.700   # SOURCE2 1
cl-s2-n1 92.974 117.700   # SOURCE2 1
f-s2-n1 122.911 116.900   # SOURCE2 1
n1-s2-o 127.997 108.460   # HF/6-31G* 1
n2-s2-o 117.918 121.200   # SOURCE2 2 0.8000
o-s2-o 118.448 116.170   # SOURCE3 1
o-s2-s 91.358 118.300   # SOURCE2 1
s-s2-s 74.776 115.040   # SOURCE3 1
br-s4-br 74.689 98.020   # SOURCE3 1
br-s4-c3 72.437 92.980   # SOURCE3 1
br-s4-o 84.014 112.070   # SOURCE3 1
c1-s4-c1 77.086 93.550   # SOURCE3 1
c1-s4-o 94.436 110.360   # SOURCE3 2
c2-s4-c2 73.133 102.290   # SOURCE3 1
c2-s4-c3 74.359 94.950   # SOURCE3 1
c2-s4-o 95.340 107.090   # SOURCE3 1
c3-s4-c3 72.538 96.120   # SOURCE3_SOURCE5 72 1.2506
c3-s4-ca 73.801 95.000   # SOURCE3 1
c3-s4-f 99.956 91.700   # SOURCE3 1
c3-s4-hs 53.159 90.600   # SOURCE3 1
c3-s4-i 64.204 90.530   # SOURCE3 1
c3-s4-n2 98.749 90.590   # SOURCE3 1
c3-s4-n3 92.849 95.770   # SOURCE3_SOURCE5 10 1.8721
c3-s4-n 92.379 96.070   # SOURCE3 4 1.0354
c3-s4-n4 88.918 92.470   # SOURCE3 1
c3-s4-na 93.247 93.070   # SOURCE3 10 1.8813
c3-s4-nh 92.347 97.080   # SOURCE3 1
c3-s4-no 89.712 89.530   # SOURCE3 1
c3-s4-o 92.851 106.710   # SOURCE3_SOURCE5 233 1.1391
c3-s4-oh 97.024 90.280   # SOURCE4_SOURCE5 21 0.2709
c3-s4-os 97.226 90.060   # SOURCE3 4 0.4484
c3-s4-p2 91.018 94.370   # SOURCE3 1
c3-s4-p3 93.042 96.540   # SOURCE3 4 1.3634
c3-s4-p4 87.791 97.400   # SOURCE3 1
c3-s4-p5 93.163 99.180   # SOURCE3 1
c3-s4-s4 75.465 89.500   # SOURCE3 1
c3-s4-s 71.946 98.720   # SOURCE3 2 0.0185
c3-s4-s6 72.311 97.480   # SOURCE3 1
c3-s4-sh 71.328 94.660   # SOURCE3 1
c3-s4-ss 71.131 95.310   # SOURCE3 3 1.4101
ca-s4-ca 74.616 95.210   # SOURCE3 1
ca-s4-o 94.489 106.630   # SOURCE3 1
c-s4-c3 72.142 95.070   # SOURCE3 1
c-s4-c 74.707 86.830   # SOURCE3 1
cl-s4-cl 92.643 97.680   # SOURCE3 1
cl-s4-o 100.538 108.340   # SOURCE3 2
c-s4-o 91.597 106.170   # SOURCE3 1
cx-s4-cx 102.278 48.800   # SOURCE2 1
cx-s4-o 91.767 110.000   # SOURCE2 1
f-s4-f 137.119 92.710   # SOURCE2 3 0.1490
f-s4-o 129.265 106.810   # SOURCE2 2 0.0100
f-s4-s 90.806 107.500   # SOURCE2 1
hs-s4-hs 42.707 87.000   # SOURCE3 2 0.0202
hs-s4-n1 72.280 90.510   # HF/6-31G* 1
hs-s4-o 69.666 110.270   # SOURCE3 5 0.1908
i-s4-i 68.021 97.290   # SOURCE3 1
i-s4-o 69.889 113.910   # SOURCE3 1
n1-s4-n1 127.594 94.020   # HF/6-31G* 1
n1-s4-o 122.838 110.090   # HF/6-31G* 1
n2-s4-n2 133.526 90.170   # SOURCE3 1
n2-s4-o 126.113 107.570   # SOURCE3 1
n3-s4-n3 121.849 91.190   # SOURCE3 1
n3-s4-o 117.831 110.430   # SOURCE3_SOURCE5 13 1.9165
n4-s4-n4 106.426 94.610   # SOURCE3 1
n4-s4-o 110.589 104.910   # SOURCE3 3 0.4370
na-s4-na 112.128 103.100   # SOURCE3 1
na-s4-o 116.397 109.750   # SOURCE3 10 2.6919
nh-s4-nh 121.527 92.240   # SOURCE3 1
nh-s4-o 119.657 107.540   # SOURCE3 3 0.0401
n-s4-n 120.832 91.300   # SOURCE3 1
n-s4-o 118.814 107.440   # SOURCE3_SOURCE5 9 1.2433
no-s4-no 111.990 83.400   # SOURCE3 1
no-s4-o 110.173 103.580   # SOURCE3 3 1.5109
oh-s4-oh 120.174 100.340   # SOURCE3 1
o-s4-o 127.045 114.110   # SOURCE3_SOURCE5 14 2.6371
o-s4-oh 120.725 110.100   # SOURCE4_SOURCE5 30 0.8834
o-s4-os 121.937 108.220   # SOURCE3_SOURCE5 19 1.5128
o-s4-p2 110.606 106.770   # SOURCE3 1
o-s4-p3 115.784 106.510   # SOURCE3 8 4.0943
o-s4-p4 109.471 103.360   # SOURCE3 1
o-s4-p5 123.827 96.950   # SOURCE3 1
o-s4-s4 91.337 104.550   # SOURCE3 1
o-s4-s 88.312 112.220   # SOURCE3 4 2.8682
o-s4-s6 92.094 102.840   # SOURCE3 1
o-s4-sh 86.714 107.510   # SOURCE3 3 0.7511
os-s4-os 124.379 94.070   # SOURCE3_SOURCE5 7 2.3843
o-s4-ss 86.001 109.490   # SOURCE3 5 1.8509
p2-s4-p2 118.888 92.620   # SOURCE3 1
p3-s4-p3 122.725 95.710   # SOURCE3 2 1.2239
p5-s4-p5 126.784 93.860   # SOURCE3 1
s4-s4-s4 77.030 90.170   # SOURCE3 1
s4-s4-s6 77.030 90.170   # SOURCE3 1
s6-s4-s6 75.638 93.520   # SOURCE3 1
sh-s4-sh 69.229 102.760   # SOURCE3 1
sh-s4-ss 69.301 102.640   # SOURCE3 1
s-s4-s 70.495 108.080   # SOURCE3 1
ss-s4-ss 71.889 95.470   # SOURCE3 1
br-s6-br 77.581 101.570   # SOURCE3 1
br-s6-c3 73.519 98.990   # SOURCE3 1
br-s6-f 94.581 100.600   # SOURCE2 1
br-s6-o 90.691 107.580   # SOURCE3 6 0.3000
c1-s6-c1 75.601 99.990   # SOURCE3 1
c1-s6-o 97.406 107.980   # SOURCE3_SOURCE5 7 0.4450
c2-s6-c2 72.969 102.750   # SOURCE3 1
c2-s6-c3 71.521 104.050   # SOURCE3 1
c2-s6-o 96.507 106.580   # SOURCE3 1
c3-s6-c3 70.681 103.830   # SOURCE3_SOURCE5 74 2.0698
c3-s6-ca 71.693 103.170   # SOURCE3 1
c3-s6-cy 73.114 94.680   # SOURCE4_SOURCE5 19 0.4776
c3-s6-f 98.119 95.900   # SOURCE3_SOURCE5 9 2.4171
c3-s6-hs 51.078 100.620   # SOURCE3 1
c3-s6-i 61.761 97.740   # SOURCE3 1
c3-s6-n2 90.421 112.480   # SOURCE4_SOURCE5 27 1.7086
c3-s6-n3 92.504 101.970   # SOURCE4_SOURCE5 162 1.1030
c3-s6-n 90.797 103.440   # SOURCE3_SOURCE5 15 0.8616
c3-s6-n4 87.728 99.400   # SOURCE3 3 0.4695
c3-s6-na 90.979 102.810   # SOURCE3 10 3.1256
c3-s6-nh 90.894 104.320   # SOURCE4_SOURCE5 92 1.5234
c3-s6-no 86.016 99.570   # SOURCE3 1
c3-s6-o 93.703 108.610   # SOURCE3_SOURCE5 1062 1.0758
c3-s6-oh 94.842 98.740   # SOURCE4_SOURCE5 121 0.7363
c3-s6-os 96.240 96.420   # SOURCE4_SOURCE5 70 0.5868
c3-s6-p2 86.273 106.470   # SOURCE3 1
c3-s6-p3 90.571 103.400   # SOURCE3 3 0.8516
c3-s6-p4 84.641 104.120   # SOURCE3 1
c3-s6-p5 91.629 103.460   # SOURCE3 1
c3-s6-s4 72.386 98.100   # SOURCE3 1
c3-s6-s 71.088 104.500   # SOURCE3 1
c3-s6-s6 71.006 101.950   # SOURCE3 1
c3-s6-sh 70.399 101.840   # SOURCE3 1
c3-s6-ss 69.952 102.470   # SOURCE3 3 1.7451
ca-s6-ca 72.567 103.080   # SOURCE3 1
ca-s6-o 97.373 104.090   # SOURCE4_SOURCE5 137 0.5743
c-s6-c3 70.322 101.240   # SOURCE3 1
c-s6-c 69.677 99.820   # SOURCE3 1
cc-s6-o 95.603 103.760   # SOURCE4_SOURCE5 24 0.8201
cl-s6-cl 90.995 101.250   # SOURCE3 1
cl-s6-f 105.577 99.000   # SOURCE2 1
cl-s6-o 101.239 107.520   # SOURCE3_SOURCE5 6 0.2106
c-s6-o 91.492 107.970   # SOURCE3 1
c-s6-os 91.455 102.120   # SOURCE3 1
cx-s6-cx 101.683 54.700   # SOURCE2 1
cy-s6-o 91.172 110.520   # SOURCE4_SOURCE5 71 0.9427
f-s6-f 137.577 89.710   # SOURCE2_SOURCE5 22 1.8574
f-s6-o 130.197 106.540   # SOURCE3_SOURCE5 7 0.0793
hs-s6-hs 40.502 99.020   # SOURCE3 2 0.0595
hs-s6-n1 77.206 97.270   # HF/6-31G* 1
hs-s6-o 72.305 107.680   # SOURCE3_SOURCE5 17 0.0882
i-s6-i 67.346 99.250   # SOURCE3 1
i-s6-o 70.931 108.820   # SOURCE3_SOURCE5 6 0.6545
n1-s6-n1 147.507 95.520   # HF/6-31G* 1
n1-s6-o 137.179 107.520   # HF/6-31G* 1
n2-s6-n2 132.302 98.610   # SOURCE3 1
n2-s6-o 124.131 119.100   # SOURCE3_SOURCE5 11 3.0533
n2-s6-oh 123.655 106.960   # SOURCE3 2
n2-s6-os 126.381 103.250   # SOURCE3 1
n3-s6-n3 123.034 98.440   # SOURCE4_SOURCE5 16 0.3984
n3-s6-o 124.794 107.430   # SOURCE3_SOURCE5 319 1.1452
n3-s6-os 124.070 99.660   # SOURCE4_SOURCE5 27 0.8063
n4-s6-n4 105.682 101.850   # SOURCE3 1
n4-s6-o 115.123 102.920   # SOURCE3 10 1.5434
na-s6-na 119.677 98.040   # SOURCE3 1
na-s6-o 123.180 105.820   # SOURCE3_SOURCE5 31 0.6987
nh-s6-nh 123.669 94.560   # SOURCE3 1
nh-s6-o 123.651 107.210   # SOURCE3_SOURCE5 106 1.3795
n-s6-n 116.385 104.160   # SOURCE3 1
n-s6-o 122.694 107.020   # SOURCE3_SOURCE5 63 1.7044
no-s6-no 107.924 91.630   # SOURCE3 1
no-s6-o 109.649 107.430   # SOURCE3 6 1.5494
n-s6-os 122.468 99.230   # SOURCE4_SOURCE5 10 0.9794
oh-s6-oh 124.674 100.340   # SOURCE3 6 0.0076
oh-s6-os 127.394 96.810   # SOURCE4_SOURCE5 74 0.8201
oh-s6-p2 108.695 109.670   # SOURCE3 2
o-s6-o 128.200 120.050   # SOURCE4_SOURCE5 971 1.8153
o-s6-oh 126.323 108.050   # SOURCE3_SOURCE5 306 0.8954
o-s6-os 126.629 108.560   # SOURCE3_SOURCE5 346 1.4469
o-s6-p2 111.304 106.610   # SOURCE3 1
o-s6-p3 116.333 107.070   # SOURCE3 22 1.0550
o-s6-p4 107.389 105.670   # SOURCE3 1
o-s6-p5 118.512 106.640   # SOURCE3 1
o-s6-s4 90.199 107.850   # SOURCE3 1
o-s6-s 90.887 110.290   # SOURCE3 6 2.2405
o-s6-s6 90.953 106.070   # SOURCE3 1
o-s6-sh 89.506 106.810   # SOURCE3 6 0.6292
os-s6-os 126.643 98.700   # SOURCE3 1
o-s6-ss 88.847 107.430   # SOURCE3 10 1.1423
p3-s6-p3 114.939 110.170   # SOURCE3 4 5.3678
p5-s6-p5 120.162 104.490   # SOURCE3 1
s4-s6-s4 72.429 101.990   # SOURCE3 1
s4-s6-s6 77.030 90.170   # SOURCE3 1
s6-s6-s6 71.972 103.290   # SOURCE3 1
sh-s6-sh 69.961 106.430   # SOURCE3 1
sh-s6-ss 71.071 102.640   # SOURCE3 1
s-s6-s 71.394 109.340   # SOURCE3 1
ss-s6-ss 71.189 101.820   # SOURCE3 1
br-sh-hs 49.791 95.640   # SOURCE3 1
c1-sh-hs 55.580 95.990   # calculated_based_on_C#C-SH 0
c2-sh-hs 52.778 96.790   # SOURCE4_SOURCE5 12 0.5703
c3-sh-hs 51.361 96.400   # SOURCE3_SOURCE5 191 0.6428
ca-sh-hs 53.161 95.500   # SOURCE4_SOURCE5 44 0.8350
cc-sh-hs 53.591 95.010   # SOURCE4_SOURCE5 23 1.3099
c-sh-hs 53.042 94.470   # SOURCE3_SOURCE5 41 0.9733
f-sh-hs 71.420 96.500   # SOURCE3 1
hs-sh-hs 42.155 93.000   # SOURCE3_SOURCE5 3 0.4777
hs-sh-i 44.148 96.440   # SOURCE3 1
hs-sh-n1 72.794 93.510   # HF/6-31G* 1
hs-sh-n2 67.814 95.820   # SOURCE3 5 3.1495
hs-sh-n 68.213 95.590   # SOURCE3 4 3.9065
hs-sh-n3 67.725 95.980   # SOURCE3 3 1.1735
hs-sh-n4 66.458 93.130   # SOURCE3 3 0.1675
hs-sh-na 67.804 97.380   # SOURCE3 9 1.0223
hs-sh-nh 66.944 101.110   # SOURCE3 1
hs-sh-no 66.751 92.930   # SOURCE3 1
hs-sh-o 67.503 109.230   # SOURCE3 2 0.0068
hs-sh-oh 68.281 98.640   # SOURCE3 2 0.0605
hs-sh-os 69.115 98.150   # SOURCE3 3 0.1661
hs-sh-p2 66.084 99.120   # SOURCE3 10 5.4110
hs-sh-p3 62.144 95.810   # SOURCE3 3 0.4396
hs-sh-p4 63.188 94.220   # SOURCE3 4 0.7605
hs-sh-p5 64.112 94.520   # SOURCE3 3 0.5589
hs-sh-s 47.237 102.870   # SOURCE3 2
hs-sh-s4 48.513 92.160   # SOURCE3 3 1.6519
hs-sh-s6 49.509 93.830   # SOURCE3 3 1.2561
hs-sh-sh 49.372 99.070   # SOURCE3 2
hs-sh-ss 49.131 99.170   # SOURCE3 3 0.2457
br-ss-br 77.455 102.920   # SOURCE3 1
br-ss-c3 73.438 99.030   # SOURCE3 1
c1-ss-c1 77.701 98.300   # SOURCE2 1
c1-ss-c3 72.838 101.860   # SOURCE2_SOURCE5 24 1.0923
c2-ss-c2 75.153 99.560   # SOURCE3 1
c2-ss-c3 72.568 100.370   # SOURCE4 100 2.3280
c2-ss-cy 76.860 88.910   # SOURCE4_SOURCE5 51 0.4794
c2-ss-n2 92.922 106.760   # SOURCE3 1
c2-ss-na 93.759 100.510   # SOURCE3 6 6.9702
c2-ss-os 100.020 89.760   # SOURCE3 1
c2-ss-ss 75.743 92.260   # SOURCE3 1
c3-ss-c3 71.051 99.240   # SOURCE3_SOURCE5 443 1.3973
c3-ss-ca 71.145 102.100   # SOURCE4_SOURCE5 393 1.3148
c3-ss-cc 72.106 100.640   # CORR_SOURCE5 118 1.6668
c3-ss-cd 72.106 100.640   # CORR_SOURCE5 118 1.6668
c3-ss-cl 80.033 99.400   # SOURCE2 1
c3-ss-cy 72.699 94.270   # SOURCE4_SOURCE5 150 0.4649
c3-ss-f 95.769 97.490   # SOURCE3 1
c3-ss-i 67.953 100.000   # SOURCE3 1
c3-ss-n1 94.433 98.440   # HF/6-31G* 1
c3-ss-n2 94.643 96.080   # SOURCE3_SOURCE5 11 1.2317
c3-ss-n3 91.857 98.830   # SOURCE3 3 0.2909
c3-ss-n 91.130 100.300   # SOURCE3 4 0.6579
c3-ss-n4 90.288 97.790   # SOURCE3 3 0.2002
c3-ss-na 92.714 96.590   # SOURCE3_SOURCE5 21 1.0132
c3-ss-nh 91.350 100.630   # SOURCE3 1
c3-ss-no 89.523 98.620   # SOURCE3 1
c3-ss-o 92.362 106.990   # SOURCE3_SOURCE5 11 1.0097
c3-ss-oh 92.897 98.280   # SOURCE3 2 1.4326
c3-ss-os 92.581 98.210   # SOURCE3 4 1.7097
c3-ss-p2 95.479 98.410   # SOURCE3 8 0.9454
c3-ss-p3 90.885 98.700   # SOURCE3 3 0.0356
c3-ss-p4 91.629 98.160   # SOURCE3 4 0.1361
c3-ss-p5 90.364 100.060   # SOURCE4_SOURCE5 62 1.0141
c3-ss-s4 70.640 96.370   # SOURCE3 3 0.0202
c3-ss-s 70.410 101.900   # SOURCE3 1
c3-ss-s6 71.595 96.760   # SOURCE3 3 1.5680
c3-ss-sh 70.887 101.930   # SOURCE3 1
c3-ss-ss 70.258 103.390   # SOURCE4_SOURCE5 237 1.0715
ca-ss-ca 73.541 98.830   # SOURCE4_SOURCE5 225 1.3938
ca-ss-cc 77.818 89.470   # CORR_SOURCE5 200 1.1779
ca-ss-cd 77.818 89.470   # CORR_SOURCE5 200 1.1779
ca-ss-cl 80.234 101.050   # SOURCE3 1
ca-ss-n 97.427 90.990   # SOURCE3_SOURCE5 5 0.5202
ca-ss-na 93.087 99.320   # SOURCE3 1
ca-ss-nc 97.913 94.760   # SOURCE3 1
ca-ss-nd 97.913 94.760   # SOURCE3 1
ca-ss-ss 70.425 105.130   # SOURCE4_SOURCE5 69 1.0007
c-ss-c2 76.536 92.430   # SOURCE3 1
c-ss-c3 71.828 99.160   # SOURCE3_SOURCE5 108 1.2072
c-ss-c 71.820 101.400   # SOURCE3 1
c-ss-cc 75.135 94.890   # SOURCE4_SOURCE5 32 1.7205
cc-ss-cc 78.031 90.240   # SOURCE3_SOURCE5 652 1.5043
cc-ss-cd 77.807 90.760   # SOURCE4_SOURCE5 157 1.7485
cc-ss-n 96.775 93.580   # SOURCE3_SOURCE5 6 2.0175
cc-ss-na 93.760 99.330   # SOURCE3 18
cc-ss-nc 99.545 93.220   # CORR_SOURCE5 25 1.5563
cc-ss-os 94.746 98.810   # SOURCE3 2 2.1583
cc-ss-ss 74.869 93.800   # CORR_SOURCE5 31 0.9858
cd-ss-cd 78.031 90.240   # SOURCE3_SOURCE5 652 1.5043
cd-ss-n 96.775 93.580   # SOURCE3_SOURCE5 6 2.0175
cd-ss-na 93.760 99.330   # SOURCE3 18 2.5847
cd-ss-nd 99.545 93.220   # CORR_SOURCE5 25 1.5563
cd-ss-os 94.746 98.810   # SOURCE3 2
cd-ss-ss 74.869 93.800   # CORR_SOURCE5 31 0.9858
cl-ss-cl 90.057 103.370   # SOURCE3 1
cx-ss-cx 102.217 48.300   # SOURCE2 1
f-ss-f 129.659 98.300   # SOURCE2 1
f-ss-ss 90.124 108.300   # SOURCE2 1
i-ss-i 72.646 106.290   # SOURCE3 1
n1-ss-n1 128.766 96.960   # HF/6-31G* 1
n2-ss-n2 125.325 96.750   # SOURCE3 1
n3-ss-n3 117.075 102.340   # SOURCE3 1
n4-ss-n4 111.994 101.190   # SOURCE3 1
na-ss-na 116.207 102.810   # SOURCE3 1
nc-ss-nc 126.827 97.990   # CORR_SOURCE5 29 0.5000
nd-ss-nd 126.827 97.990   # CORR_SOURCE5 29 0.5000
nh-ss-nh 114.991 107.890   # SOURCE3 1
n-ss-n 116.487 103.100   # SOURCE3 1
no-ss-no 108.247 106.430   # SOURCE3 1
oh-ss-oh 118.444 104.250   # SOURCE3 1
o-ss-o 124.036 119.300   # SOURCE2 1
o-ss-p5 114.305 106.410   # SOURCE3 1
o-ss-s6 89.483 105.390   # SOURCE3 1
os-ss-os 118.047 102.990   # SOURCE3 1
o-ss-ss 88.228 112.700   # SOURCE2 1
p2-ss-p2 127.760 99.520   # SOURCE3 1
p3-ss-p3 117.165 101.670   # SOURCE3 1
p5-ss-p5 126.593 87.370   # SOURCE3_SOURCE5 11 1.2491
s4-ss-s4 71.661 96.080   # SOURCE3 1
s4-ss-s6 70.568 101.260   # SOURCE3 1
s6-ss-s6 71.193 101.810   # SOURCE3 1
sh-ss-sh 70.979 107.540   # SOURCE3 1
sh-ss-ss 71.215 106.530   # SOURCE3 1
s-ss-s 67.904 115.040   # SOURCE3 1
ss-ss-ss 70.653 107.930   # SOURCE4_SOURCE5 72 1.6368
c3-sx-ca 72.223 96.640   # SOURCE4_SOURCE5 41 0.4942
c3-sx-cc 73.054 95.180   # SOURCE4_SOURCE5 41 0.6549
c3-sx-ce 72.861 95.290   # SOURCE3_SOURCE5 10 0.5723
c3-sx-cf 72.861 95.290   # SOURCE3_SOURCE5 7 0.8172
c3-sx-ne 93.362 90.060   # SOURCE3 5 1.9627
c3-sx-nf 93.362 90.060   # SOURCE3 5
c3-sx-o 91.942 107.520   # SOURCE3_SOURCE5 84 0.7996
c3-sx-pe 91.537 94.320   # SOURCE3 7 0.5547
c3-sx-pf 91.537 94.320   # SOURCE3 7
c3-sx-px 88.346 96.460   # SOURCE3 3 1.3351
c3-sx-py 88.211 95.670   # SOURCE3 1
